,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
소비자물가 총지수(2020=100),63.2,65.7,67.5,69.9,72.4,74.4,76.1,78.0,81.7,83.9,86.4,89.9,91.8,93.0,94.2,94.9,95.8,97.6,99.1,99.5,100.0,102.5,107.7,111.6,114.2
소비자물가상승률(%),2.3,4.1,2.8,3.5,3.6,2.8,2.2,2.5,4.7,2.8,2.9,4.0,2.2,1.3,1.3,0.7,1.0,1.9,1.5,0.4,0.5,2.5,5.1,3.6,2.3
식료품 · 비주류음료,0.8,5.1,4.8,4.6,8.1,3.1,0.5,2.5,4.9,7.6,6.4,8.1,4.0,0.9,0.3,1.6,2.3,3.4,2.8,0.0,4.4,5.9,5.9,5.5,3.9
주류 및 담배,0.8,5.0,7.4,2.8,1.1,14.9,-0.2,0.4,0.5,1.1,0.4,0.8,1.5,1.7,-0.1,50.1,0.7,1.5,0.3,0.6,0.3,0.4,2.2,1.0,0.9
의류 및 신발,1.5,3.0,3.1,3.5,0.3,1.0,2.7,2.7,2.6,5.1,2.9,3.3,4.8,2.9,4.0,1.3,1.8,1.1,1.1,0.1,0.7,0.6,3.1,6.7,3.3
주택 ·수도 · 전기 및 연료,3.7,5.9,2.7,4.2,3.3,1.9,2.9,2.2,4.3,1.1,2.4,4.5,4.6,3.5,2.9,-0.6,-0.8,1.7,0.7,1.2,0.5,1.6,5.5,5.1,1.7
가정용품 및 가사 서비스,-2.5,1.9,1.0,2.0,0.7,0.6,0.2,2.6,4.4,4.4,0.4,3.7,2.9,0.3,2.1,2.6,1.6,1.1,2.3,2.1,0.0,1.9,4.8,5.4,2.0
보건,7.3,11.4,-0.5,2.2,1.4,2.2,2.0,1.7,1.9,2.2,1.7,1.8,0.9,0.4,0.7,1.3,1.0,0.9,-0.1,0.5,1.5,-0.1,0.8,1.6,1.9
교통,4.4,3.9,1.0,4.0,3.5,5.0,4.6,3.6,8.8,-3.5,4.9,7.0,3.2,-0.5,-1.6,-7.8,-2.2,3.6,2.4,-1.8,-1.8,6.3,9.7,-3.4,1.4
통신,-2.3,-3.2,-4.5,-5.2,-1.6,-1.8,-1.3,-2.0,-1.4,-0.2,-0.9,-1.6,-2.6,-0.1,-0.1,-0.2,0.1,0.3,-0.9,-2.3,-2.1,-0.9,0.9,1.0,0.3
오락 및 문화,-1.0,-0.4,0.6,0.4,-0.1,0.1,-2.4,-1.7,1.5,2.3,0.9,1.6,0.3,1.0,0.4,-0.5,1.8,0.1,0.5,-0.2,-1.0,0.4,2.8,3.7,1.4
교육,5.1,4.5,5.6,5.9,5.5,4.2,4.8,6.0,5.5,2.5,2.3,1.7,1.4,1.2,1.5,1.7,1.6,1.1,1.4,0.5,-2.1,0.9,1.3,2.0,1.7
음식 및 숙박,0.9,1.7,3.4,3.7,3.8,2.4,1.9,1.9,4.8,3.8,2.3,4.3,1.2,1.6,1.5,2.3,2.5,2.4,3.0,1.8,0.9,2.7,7.6,6.0,3.1
기타 상품 및 서비스,1.3,4.0,3.3,2.5,2.0,1.4,5.2,4.9,9.0,6.8,3.5,3.2,-3.3,0.5,3.1,2.7,3.4,2.8,0.6,1.6,2.0,2.0,6.1,5.8,4.1
