year,new_substances_added,regulation_strength,system_update,law_revision_count,notes
2010,0,1,0,0,중앙정부 차원의 별도 신규 '마약류 관리 종합대책' 자료는 확인되지 않음. 기존 마약류 관리에 관한 법률 및 하위 법령 체계 유지 단계로 처리.
2011,0,1,0,0,식약청(현 식약처) '종합병원 마약류 관리지침' 게시(2011.4.7). 종합병원 내 마약류 보관·출납·점검 등 관리 기준을 정한 행정지침 제정.
2012,0,2,0,1,보건복지부·식약청 '의료용 마약류 관리강화방안'(2012.10.15) 발표로 프로포폴 등 향정신성의약품 제조·유통·사용·처방 전 단계 관리 강화. 같은 해 '마약류 관리에 관한 법률 시행령' 전문개정(2012.6.7)으로 세부 위임·집행체계 정비.
2013,0,1,0,0,"국무총리 소속 마약류대책협의회에서 연말(2013.12.24) 마약류 관리 정책 성과를 평가하고, 이후 '2014년 마약류 관리 종합대책'을 수립·발표하기 위한 협의 진행 단계."
2014,0,2,1,1,"마약류대책협의회가 '2014년 마약류 관리 종합대책' 발표. 신종·유사마약 신속 대응체계 보강, 밀반입·유통 취약지역 단속 강화, 의료용 마약류 상시 모니터링 체계 마련, RFID 기반 전산관리 시범사업 추진 등 6대 과제 포함."
2015,0,2,1,1,"「마약류 관리에 관한 법률」 개정(2015.5.18)으로 제11조(마약류 취급의 보고), 제11조의2(마약류통합정보관리센터) 신설·정비. 향후 통합관리시스템을 통한 마약류 취급정보 전산 보고를 의무화할 법적 근거 마련."
2016,0,1,0,0,"프로포폴 등 의료용 마약류의 비급여 사용 증가와 오남용 문제가 의료계·언론에서 지속 제기되며, 기존 관리체계의 미흡함과 전산관리 필요성이 논의된 시기. 별도 새로운 국가 종합대책 문서보다는 기존 대책의 보완 수준으로 파악."
2017,0,1,0,0,"2014~2016년 추진된 RFID 기반 시범사업과 의료용 마약류 상시 모니터링 경험을 바탕으로, 2018년 전면 시행될 '마약류 취급보고 제도' 및 통합관리시스템(NIMS) 구축·설계를 진행한 준비 단계로 정리."
2018,0,3,1,0,"2015년 법 개정을 근거로 2018.5.18부터 '마약류 취급보고' 제도 전면 시행. 마약류취급자·승인자가 수출입, 제조, 판매, 양수·양도, 사용, 조제, 투약, 폐기 등 모든 취급 내역을 식약처장에게 전산보고. 이를 지원하는 '마약류통합관리시스템(NIMS)' 공식 운영 시작."
2019,0,2,1,0,"한국의약품안전관리원 등이 마약류취급자 및 공무원을 대상으로 마약류통합관리시스템 권역별 교육(2019 상반기 등)을 실시하여, 보고 품질 제고 및 시스템 안착을 추진한 시기."
2020,0,2,0,0,"국무조정실·관계부처가 '2021년 마약류 관리 종합대책'을 수립(2020.12.24 회의)하여, 생활 속 불법 마약류 단속 강화 및 국제 공조, 의료용 마약류 오남용 예방 등을 포함한 5대 전략·10대 과제를 담은 다음 해 대책을 준비한 단계."
2021,0,3,0,0,"정부가 '미래 대한민국을 대비하는 선제적 준비(2021년 마약류 관리 종합대책)' 발표. '마약으로부터 안전한 대한민국'을 목표로, 불법마약류 근절, 의료용 마약류 오남용 예방, 중독자 치료·재활, 국제공조 강화 등 5대 전략·10대 주요 추진과제 제시."
2022,0,3,0,0,"식약처 등 관계부처가 '2022년도 마약류 관리 종합대책'(2021.11.29 보도자료) 발표. 불법마약류 밀반입·유통 근절, 의료용 마약류 오남용 예방, 재활·예방 인프라 강화를 골자로 함. 2022.10.26 당정협의회에서는 국무조정실 산하 마약류 관리 컨트롤타워 설치, 마약범죄 특별수사팀 운영 등 '마약과의 전쟁' 기조를 천명."
2023,0,3,0,0,"정부가 2023년 '마약류 관리 종합대책'을 통해 마약범죄 빈발지역 입국자 전수조사, 공항 전신스캐너 확대, 불법 유통·온라인 거래 집중 단속 등 강도 높은 수사·검사 확대 방안을 발표. '마약류 관리 종합대책' 이름으로 대책 정비."
2024,0,3,1,0,"식약처가 '2024년 의약품·마약류 제조·유통관리 기본계획'(2024.3.26)을 수립해 제조·유통 단계 안전관리 및 품질·유통관리 강화를 추진. 같은 해 6.26 제2차 마약류대책협의회에서 2024년 상반기 관리 성과·하반기 계획과 함께 제1차 마약류 관리 기본계획(2025~2029년)(안)을 논의, 마약과의 전쟁 기조 및 치료·재활·예방 인프라 확충 방향을 재확인."
